rdfid,lineindex
Bicycle,15
Bicycle,18
Bicycle,19
Bicycle,20
Bicycle,22
Bicycle,23
Bicycle,24
Bicycle,26
Bicycle,27
Bicycle,28
Bicycle,30
Bicycle,31
Bicycle,32
Bicycle,34
Bicycle_v2,1
Bicycle_v2,2
Bicycle_v2,3
Bicycle_v2,4
Bicycle_v2,5
Bicycle_v2,6
Bicycle_v2,7
Bicycle_v2,8
Bicycle_v2,9
Bicycle_v2,10
Bicycle_v2,11
Bicycle_v2,12
Bicycle_v2,13
Bicycle_v2,14
Bicycle_v2,15
Bicycle_v2,16
Bicycle_v2,17
Bicycle_v2,18
Bicycle_v2,19
Bicycle_v2,20
Bicycle_v2,21
Bicycle_v2,22
Bicycle_v2,23
Bicycle_v2,24
Bicycle_v2,25
boolean_declaration,1
boolean_declaration,2
boolean_declaration_v2,5
boolean_declaration_v2,6
boolean_expression,2
boolean_expression,3
boolean_expression_v2,6
boolean_expression_v2,7
boolean_operators_v2,5
boolean_operators_v2,8
boolean_operators_v2,9
boolean_operators_v2,10
border_layout,19
border_layout,33
border_layout,47
border_layout,52
button_test,18
button_test,23
button_test,24
button_test,56
CalatogDatabase,1
CalatogDatabase,2
CalatogDatabase,3
CalatogDatabase,5
CalatogDatabase,6
CalatogDatabase,7
CalatogDatabase,9
CalatogDatabase,10
CalatogDatabase,11
CalatogDatabase,12
CalatogDatabase,13
CalatogDatabase,14
CalatogDatabase,15
CalatogDatabase,17
CalatogDatabase,18
CalatogDatabase,21
calculate.py,1
calculate.py,2
calculate.py,4
calculate.py,5
calculate.py,6
calculate.py,7
calculate.py,8
calculating1.c,6
calculating1.c,7
calculating1.c,8
calculating1.c,9
calculating1.c,10
calculating2.c,1
calculating2.c,2
calculating2.c,4
calculating2.c,7
calculating2.c,8
CallDisplayData,2
CallDisplayData,4
CallDisplayData,6
CallDisplayData,7
CallDisplayData,9
CancelEdit,1
CancelEdit,2
CancelEdit,3
capital.c,1
capital.c,3
capital.c,4
capital.c,5
capital.c,6
capital.c,7
capital.c,8
capital.c,9
capital.c,10
capital.c,11
capital.c,12
capitaltable.c,9
capitaltable.c,15
capitaltable.c,16
capitaltable.c,17
capitaltable.c,18
capitaltable.c,19
capitaltable.c,20
capitaltable.c,23
capitaltable.c,25
capitaltable.c,26
capitaltable.c,27
capitaltable.c,28
capitaltable.c,31
capitalyears.c,10
capitalyears.c,13
capitalyears.c,14
capitalyears.c,15
capitalyears.c,16
capitalyears.c,17
capitalyears.c,18
capitalyears.c,19
capitalyears.c,20
capitalyears.c,21
capitalyears.c,22
capitalyears.c,23
capitalyears.c,24
capitalyears.c,25
CashRegisterConstantField,12
CashRegisterConstantField,14
CashRegisterConstantField,22
CashRegisterConstantField,28
CashRegisterConstantField,34
CashRegisterConstantField,36
CashRegisterConstantField,40
CashRegisterTester,1
CashRegisterTester,18
CashRegisterTester,25
CashRegisterTester,32
CashRegisterTester,37
CashRegisterTester,42
CashRegisterTester,47
CashRegisterTester,52
CCVerifyParam,1
CCVerifyParam,2
CCVerifyParam,3
CCVerifyParam,5
CCVerifyParam,6
CCVerifyParam,7
CCVerifyParam,9
CCVerifyParam,10
CCVerifyParam,11
CCVerifyParam,13
Ch1_ChangingButton,1
Ch1_ChangingButton,2
Ch1_ChangingButton,5
Ch1_ChangingButton,6
Ch1_ChangingButton,8
Ch1_ChangingButton,9
